<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
GTN,20210420,12.6154,12.9231,12.5539,12.7692,817100
GTN,20210422,12.7692,12.7692,12.0000,12.1846,432000
GTN,20210423,12.0000,12.3692,12.0000,12.3077,751800
GTN,20210426,12.3077,12.3077,11.7538,11.7538,564600
GTN,20210427,11.5692,11.7538,11.5692,11.6000,469200
GTN,20210428,11.6000,11.6923,11.5077,11.5385,399200
GTN,20210429,11.5385,11.5385,11.1693,11.2615,769300
GTN,20210504,10.7692,11.0769,10.5230,10.5231,1079200
GTN,20210505,10.5231,11.2308,10.5231,11.2308,769300
GTN,20210506,11.5077,11.5077,11.1693,11.2000,537400
GTN,20210507,10.8000,11.3231,10.7077,10.8000,487600
GTN,20210510,10.6154,11.4154,10.4615,11.4154,803500
GTN,20210511,11.5077,11.5385,11.1077,11.2000,448900
GTN,20210512,11.1385,11.2923,11.0462,11.2308,444100
GTN,20210513,11.1693,11.2000,11.0154,11.0154,582400
GTN,20210514,11.0154,11.1385,10.8923,10.8923,468400
GTN,20210517,10.8923,10.9538,10.5538,10.7077,659000
GTN,20210518,10.6462,10.7692,10.5846,10.6462,506500
GTN,20210519,10.5847,10.6462,10.4308,10.4615,622200
GTN,20210520,10.4615,10.5230,10.2153,10.2462,770300
GTN,20210521,10.2462,10.6770,10.2154,10.5846,476900
GTN,20210524,10.6461,11.0769,10.6461,11.0154,597800
GTN,20210525,11.0154,11.0154,10.7077,10.7692,441400
GTN,20210526,10.6769,10.8307,10.5230,10.6462,568100
GTN,20210527,10.5847,10.6462,10.4308,10.4308,516700
GTN,20210528,10.4616,10.5231,10.4000,10.4308,538700
GTN,20210531,10.4308,10.4616,10.2770,10.3692,464900
GTN,20210601,10.2461,10.3692,10.2154,10.2462,539200
GTN,20210602,10.5231,10.9539,10.5231,10.9538,860200
GTN,20210603,11.6923,11.6923,11.5692,11.6923,679600
GTN,20210604,12.4923,12.4923,12.0000,12.2154,3040000
GTN,20210607,11.8154,12.2462,11.5692,11.8769,956200
GTN,20210608,11.6923,12.2154,11.6923,11.7231,671000
GTN,20210609,11.6923,11.6923,11.2000,11.4154,764800
GTN,20210610,11.6308,12.0000,11.1385,11.8769,825300
GTN,20210611,11.8769,11.9692,11.6923,11.7846,403400
GTN,20210614,11.7231,11.7846,11.5692,11.6000,448100
GTN,20210615,11.5385,11.6308,11.3231,11.4769,344400
GTN,20210616,11.4154,11.8154,11.3846,11.5692,597600
GTN,20210617,11.4769,11.6615,11.4154,11.6000,391100
GTN,20210618,11.6000,11.9385,11.5692,11.7846,851100
GTN,20210621,11.8154,12.0615,11.7538,11.8154,524700
GTN,20210622,11.9692,11.9692,11.6308,11.6923,455600
GTN,20210623,11.6308,11.6923,11.4769,11.5385,320800
GTN,20210624,11.5385,11.6923,11.3846,11.3846,260900
GTN,20210625,11.4769,11.5384,11.3846,11.4769,245500
GTN,20210628,11.4461,11.6000,11.4154,11.4462,197400
GTN,20210629,11.4154,11.6616,11.4154,11.4769,341500
GTN,20210630,11.4769,11.5384,11.3846,11.4154,173900
GTN,20210701,11.4154,11.4769,11.3846,11.4154,318400
GTN,20210702,11.2000,11.5077,11.2000,11.2000,559300
GTN,20210705,11.2000,11.2000,10.8308,10.8923,657900
GTN,20210706,11.0154,11.1385,10.7692,10.7692,415900
GTN,20210707,10.5230,10.7692,10.4000,10.7077,510600
GTN,20210708,10.7077,10.7385,10.4923,10.5231,347900
GTN,20210709,10.4616,10.5846,10.3385,10.3692,384600
GTN,20210712,10.3692,10.3692,9.6615,9.8769,468400
GTN,20210713,9.8769,10.1538,9.8769,10.0308,198800
GTN,20210714,10.0923,10.1539,9.9693,10.0000,199900
GTN,20210715,9.8462,10.2154,9.8462,10.1538,285200
GTN,20210716,10.2153,10.3076,10.0923,10.1538,185900
GTN,20210719,9.5384,10.0307,9.5384,9.6308,343000
GTN,20210720,9.6308,9.7539,9.4154,9.7231,267200
GTN,20210721,9.8462,10.0308,9.7846,9.8154,150300
GTN,20210722,9.9077,10.2154,9.8154,10.1538,236700
GTN,20210723,10.0923,10.3076,9.9692,10.0615,255300
GTN,20210726,10.3384,10.4000,10.0615,10.3077,592600
GTN,20210727,10.4000,10.4923,10.2769,10.3385,210300
GTN,20210728,10.3385,10.3385,10.1231,10.1231,131600
GTN,20210729,10.0923,10.2462,10.0923,10.1538,214100
GTN,20210730,10.1538,10.2153,10.0615,10.1538,253000
GTN,20210802,10.1230,10.3076,10.0923,10.1846,258300
GTN,20210803,10.1538,10.2461,10.0615,10.1846,158000
GTN,20210804,10.0615,10.1846,10.0615,10.1231,216800
GTN,20210805,10.0923,10.3077,10.0000,10.1846,563700
GTN,20210806,10.3384,10.8923,10.1846,10.8923,1770600
