<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RAL,20081208,8.8689,8.9915,8.8280,8.8689,19670,21.7000,22.0000,21.6000,21.7000,0,10000,0
RAL,20081205,9.6863,9.6863,9.2367,9.2776,18290,23.7000,23.7000,22.6000,22.7000,0,10000,0
RAL,20081204,9.6863,9.6863,9.4002,9.6863,32230,23.7000,23.7000,23.0000,23.7000,0,16000,0
RAL,20081203,9.4003,10.1768,9.4003,9.4002,9460,23.0000,24.9000,23.0000,23.0000,0,0,0
RAL,20081202,9.8089,9.8089,9.8089,9.8090,26200,24.0000,24.0000,24.0000,24.0000,0,2000,0
RAL,20081201,10.2176,10.2176,10.1359,10.1359,550,25.0000,25.0000,24.8000,24.8000,0,0,0
RAL,20081128,10.0542,10.1359,10.0133,10.1359,50100,24.6000,24.8000,24.5000,24.8000,0,0,0
RAL,20081127,10.5038,10.5038,10.0134,10.0133,7450,25.7000,25.7000,24.5000,24.5000,0,100,0
RAL,20081126,11.0351,11.0351,10.5038,10.5038,21500,27.0000,27.0000,25.7000,25.7000,0,10000,0
RAL,20081125,11.4029,11.4029,11.0351,11.0351,3460,27.9000,27.9000,27.0000,27.0000,0,0,0
RAL,20081124,11.4438,11.4438,10.9534,11.0351,5930,28.0000,28.0000,26.8000,27.0000,0,400,0
RAL,20081121,11.0351,11.4438,10.8716,11.4438,33470,27.0000,28.0000,26.6000,28.0000,0,0,40
RAL,20081120,11.5664,11.6073,11.4438,11.4438,9260,28.3000,28.4000,28.0000,28.0000,0,0,0
RAL,20081119,12.0568,12.0568,11.8524,12.0160,6010,29.5000,29.5000,29.0000,29.4000,0,0,0
RAL,20081118,11.5664,12.0568,11.5255,12.0568,2810,28.3000,29.5000,28.2000,29.5000,0,0,0
RAL,20081117,11.5664,12.0569,11.5664,12.0568,6740,28.3000,29.5000,28.3000,29.5000,0,0,0
RAL,20081114,12.0568,12.1385,11.8524,11.8525,9600,29.5000,29.7000,29.0000,29.0000,0,0,0
RAL,20081113,11.5255,12.0568,11.5255,12.0568,3950,28.2000,29.5000,28.2000,29.5000,0,0,0
RAL,20081112,11.5664,12.0977,11.5664,12.0568,6920,28.3000,29.6000,28.3000,29.5000,0,0,2000
RAL,20081111,12.2203,12.3021,11.9342,12.1386,15770,29.9000,30.1000,29.2000,29.7000,0,0,0
RAL,20081110,12.5473,12.5473,12.2612,12.2612,5720,30.7000,30.7000,30.0000,30.0000,0,0,0
RAL,20081107,11.5664,12.1386,11.5664,12.1386,4840,28.3000,29.7000,28.3000,29.7000,0,0,0
RAL,20081106,12.1386,12.8743,12.0977,12.1386,21310,29.7000,31.5000,29.6000,29.7000,0,0,0
RAL,20081105,12.6699,12.6699,12.6699,12.6699,7290,31.0000,31.0000,31.0000,31.0000,0,60,0
RAL,20081104,11.4438,12.0977,11.4438,12.0977,12520,28.0000,29.6000,28.0000,29.6000,0,0,0
RAL,20081103,11.5255,11.6481,11.5255,11.5255,24470,28.2000,28.5000,28.2000,28.2000,0,0,10000
RAL,20081031,12.2612,12.2612,12.0977,12.0977,8770,30.0000,30.0000,29.6000,29.6000,0,0,100
RAL,20081030,11.1986,12.1795,11.1986,11.8525,14820,27.4000,29.8000,27.4000,29.0000,0,0,0
RAL,20081029,11.7299,11.7299,11.2395,11.7299,19280,28.7000,28.7000,27.5000,28.7000,0,0,0
RAL,20081028,11.1985,11.2394,11.1985,11.1986,11490,27.4000,27.5000,27.4000,27.4000,0,0,0
RAL,20081027,11.7707,11.7707,11.7707,11.7707,6450,28.8000,28.8000,28.8000,28.8000,0,0,0
RAL,20081024,12.6699,12.6699,12.3838,12.3838,3040,31.0000,31.0000,30.3000,30.3000,0,0,0
RAL,20081023,13.0377,13.0377,12.9969,12.9969,20240,31.9000,31.9000,31.8000,31.8000,0,15000,0
RAL,20081022,13.8143,13.8143,13.6508,13.6508,2000,33.8000,33.8000,33.4000,33.4000,0,0,0
RAL,20081021,13.8143,13.8143,13.6917,13.8143,20920,33.8000,33.8000,33.5000,33.8000,0,9880,12780
RAL,20081020,14.4682,14.4682,13.8143,13.8143,2240,35.4000,35.4000,33.8000,33.8000,0,0,2220
RAL,20081017,13.3238,14.5091,13.3238,14.5091,14470,32.6000,35.5000,32.6000,35.5000,0,3000,0
RAL,20081016,13.6099,13.8960,13.6099,13.8960,8490,33.3000,34.0000,33.3000,34.0000,0,2000,0
RAL,20081015,14.3864,14.3864,13.8960,14.3047,23310,35.2000,35.2000,34.0000,35.0000,0,4940,0
RAL,20081014,13.7325,13.7325,13.7325,13.7325,620,33.6000,33.6000,33.6000,33.6000,0,0,0
RAL,20081013,14.1821,14.1821,13.0786,13.0786,3370,34.7000,34.7000,32.0000,32.0000,0,0,0
RAL,20081010,13.6099,13.6508,13.6099,13.6099,19440,33.3000,33.4000,33.3000,33.3000,0,5000,0
RAL,20081009,13.6916,14.9995,13.6916,14.3047,27390,33.5000,36.7000,33.5000,35.0000,0,0,0
RAL,20081008,13.9777,14.7134,13.9777,14.3047,17950,34.2000,36.0000,34.2000,35.0000,0,5300,0
RAL,20081007,14.7134,14.7134,14.7134,14.7134,15540,36.0000,36.0000,36.0000,36.0000,0,5390,0
RAL,20081006,15.9395,15.9395,15.4491,15.4491,22830,39.0000,39.0000,37.8000,37.8000,0,8120,0
RAL,20081003,16.0213,16.5526,16.0213,16.2256,12040,39.2000,40.5000,39.2000,39.7000,0,2490,0
RAL,20081002,16.3074,16.5935,16.2257,16.5935,20610,39.9000,40.6000,39.7000,40.6000,0,0,0
RAL,20081001,15.9395,16.7570,15.9395,15.9396,75580,39.0000,41.0000,39.0000,39.0000,0,20000,0
RAL,20080930,17.4109,17.4109,16.5526,16.5526,630,42.6000,42.6000,40.5000,40.5000,0,0,0
RAL,20080929,15.9396,17.4109,15.8578,17.4109,54270,39.0000,42.6000,38.8000,42.6000,0,42000,0
RAL,20080926,16.6343,16.6343,15.0813,16.5935,76810,40.7000,40.7000,36.9000,40.6000,0,54300,1200
RAL,20080925,15.5308,15.8578,15.0812,15.8578,68130,38.0000,38.8000,36.9000,38.8000,0,35000,0
RAL,20080924,15.5308,15.5308,14.7134,15.1221,19440,38.0000,38.0000,36.0000,37.0000,0,5000,0
RAL,20080923,14.9178,15.2039,14.3047,15.1221,76380,36.5000,37.2000,35.0000,37.0000,0,2000,24000
RAL,20080922,14.5090,14.5090,14.5090,14.5091,1020,35.5000,35.5000,35.5000,35.5000,0,850,0
RAL,20080919,13.8551,13.8551,13.8551,13.8551,5860,33.9000,33.9000,33.9000,33.9000,0,0,0
RAL,20080918,13.2012,13.2012,13.2012,13.2012,33540,32.3000,32.3000,32.3000,32.3000,0,2840,6060
RAL,20080917,13.8960,13.8960,13.8960,13.8960,13960,34.0000,34.0000,34.0000,34.0000,0,2600,0
RAL,20080916,14.9178,15.0813,14.5908,14.5908,12590,36.5000,36.9000,35.7000,35.7000,0,0,0
RAL,20080915,15.4900,15.4900,14.9178,15.3265,36100,37.9000,37.9000,36.5000,37.5000,0,0,0
RAL,20080912,14.9177,15.2856,14.7543,14.7543,37150,36.5000,37.4000,36.1000,36.1000,0,10000,70
RAL,20080911,15.7352,15.7761,15.5308,15.5308,82200,38.5000,38.6000,38.0000,38.0000,0,0,210
RAL,20080910,15.7352,15.9396,15.5717,15.7352,134760,38.5000,39.0000,38.1000,38.5000,0,22300,0
RAL,20080909,15.9396,17.1657,15.7352,15.7352,50730,39.0000,42.0000,38.5000,38.5000,0,740,0
RAL,20080908,15.8578,16.3482,15.8578,16.3483,94930,38.8000,40.0000,38.8000,40.0000,0,2000,0
RAL,20080905,16.5935,16.7570,16.5526,16.6752,48610,40.6000,41.0000,40.5000,40.8000,0,0,0
RAL,20080904,17.4108,18.0648,17.4108,17.4109,29670,42.6000,44.2000,42.6000,42.6000,0,400,0
RAL,20080903,18.3101,18.3101,18.2283,18.3100,59010,44.8000,44.8000,44.6000,44.8000,0,0,0
RAL,20080829,16.7161,17.4518,16.3483,17.4518,83510,40.9000,42.7000,40.0000,42.7000,0,36700,0
RAL,20080828,16.7161,16.7979,16.7161,16.7161,115020,40.9000,41.1000,40.9000,40.9000,0,50000,0
RAL,20080827,17.5335,18.3918,17.5335,17.5744,164140,42.9000,45.0000,42.9000,43.0000,0,1680,0
RAL,20080826,17.5335,17.5335,17.5335,17.5335,72090,42.9000,42.9000,42.9000,42.9000,0,10000,0
RAL,20080825,16.5527,16.7161,16.5118,16.7161,87290,40.5000,40.9000,40.4000,40.9000,0,5200,0
RAL,20080822,16.9613,16.9613,15.9396,15.9396,120140,41.5000,41.5000,39.0000,39.0000,0,10750,0
RAL,20080821,15.6535,16.7161,15.6535,16.7161,76930,38.3000,40.9000,38.3000,40.9000,0,0,0
RAL,20080820,15.9396,16.2666,15.9396,15.9396,100910,39.0000,39.8000,39.0000,39.0000,0,3900,0
RAL,20080819,17.1657,17.9831,16.7570,16.7570,87260,42.0000,44.0000,41.0000,41.0000,0,0,0
RAL,20080818,17.4109,17.4109,17.1657,17.4109,183090,42.6000,42.6000,42.0000,42.6000,0,10180,0
RAL,20080815,16.5928,16.5928,16.5928,16.5935,50990,40.6000,40.6000,40.6000,40.6000,0,25460,0
RAL,20080814,16.1431,16.1431,16.1431,16.1432,28110,40.3000,40.3000,40.3000,40.3000,0,15900,0
RAL,20080813,15.7025,15.7025,15.4221,15.7025,110800,39.2000,39.2000,38.5000,39.2000,0,31220,0
RAL,20080812,15.2619,15.2619,14.8614,15.2619,111420,38.1000,38.1000,37.1000,38.1000,0,0,0
RAL,20080811,14.8213,14.8213,14.8213,14.8213,41300,37.0000,37.0000,37.0000,37.0000,0,1000,0
RAL,20080808,14.4207,14.4207,14.0602,14.4207,24220,36.0000,36.0000,35.1000,36.0000,0,3000,0
RAL,20080807,14.8213,14.9415,14.2204,14.2204,33240,37.0000,37.3000,35.5000,35.5000,0,0,0
RAL,20080806,14.5809,15.3420,14.5809,14.6210,51580,36.4000,38.3000,36.4000,36.5000,0,0,0
RAL,20080805,14.9815,14.9815,14.9815,14.9815,1000,37.4000,37.4000,37.4000,37.4000,0,0,0
RAL,20080804,15.4222,15.4222,15.4222,15.4221,4270,38.5000,38.5000,38.5000,38.5000,0,0,0
RAL,20080801,15.8628,16.4236,15.8628,15.8628,34500,39.6000,41.0000,39.6000,39.6000,0,0,1000
RAL,20080731,16.0230,16.5037,16.0230,16.0230,80550,40.0000,41.2000,40.0000,40.0000,0,40000,0
RAL,20080730,16.5037,16.9844,16.5037,16.5037,33700,41.2000,42.4000,41.2000,41.2000,0,960,1560
RAL,20080729,16.5037,16.9844,16.5037,16.9844,129410,41.2000,42.4000,41.2000,42.4000,0,0,290
RAL,20080728,16.5037,17.4250,16.5037,16.5037,81230,41.2000,43.5000,41.2000,41.2000,0,0,3000
RAL,20080725,16.9844,16.9844,16.9844,16.9844,4820,42.4000,42.4000,42.4000,42.4000,0,940,0
RAL,20080724,17.5052,17.9458,17.5052,17.5051,77690,43.7000,44.8000,43.7000,43.7000,0,0,4930
RAL,20080723,18.0259,18.0259,18.0259,18.0259,560,45.0000,45.0000,45.0000,45.0000,0,0,0
RAL,20080722,18.5466,18.5466,18.5466,18.5466,320,46.3000,46.3000,46.3000,46.3000,0,0,0
RAL,20080721,19.1074,19.4279,19.1074,19.1074,40660,47.7000,48.5000,47.7000,47.7000,0,0,2700
RAL,20080718,19.6682,19.6682,19.2276,19.6682,67430,49.1000,49.1000,48.0000,49.1000,0,100,23000
RAL,20080717,18.5867,19.1074,18.5867,19.1074,560,46.4000,47.7000,46.4000,47.7000,0,0,0
RAL,20080716,18.5866,18.5866,17.6253,18.5867,118060,46.4000,46.4000,44.0000,46.4000,0,1200,4000
